TotalRevenue,TotalOrders,FirstPurchase,LastPurchase,RetentionPeriodDays,AverageOrderValue,RevenueSegment,RegionSegment,RetentionPeriodYears,PurchaseFrequency,CLTV
372.86,33,2009-12-14 08:34:00,2010-06-28 13:53:00,196,11.298787878787879,Medium,United Kingdom,0.536986301369863,61.45408163265306,373.0
1323.32,71,2010-10-31 14:20:00,2010-12-07 14:57:00,37,18.63830985915493,VIP,Iceland,0.10136986301369863,700.4054054054054,1324.0
222.16,20,2010-09-27 14:59:00,2010-09-27 14:59:00,0,11.108,Medium,Finland,0.0,0.0,0.0
2671.14,102,2010-04-29 13:20:00,2010-10-28 08:23:00,181,26.18764705882353,VIP,Italy,0.4958904109589041,205.69060773480663,2672.0
300.93,21,2010-11-29 15:23:00,2010-11-29 15:23:00,0,14.33,Medium,Unspecified,0.0,0.0,0.0
343.8,18,2010-11-12 10:20:00,2010-11-29 10:07:00,16,19.1,Medium,Norway,0.043835616438356165,410.625,344.0
317.76,20,2010-10-27 12:44:00,2010-10-27 12:44:00,0,15.888,Medium,Bahrain,0.0,0.0,0.0
488.21000000000004,22,2010-05-21 11:59:00,2010-05-21 11:59:00,0,22.191363636363636,Medium,Bahrain,0.0,0.0,0.0
3560.3,83,2010-10-11 09:42:00,2010-11-24 12:24:00,44,42.89518072289157,VIP,Portugal,0.12054794520547946,688.5227272727273,3561.0
12079.99,165,2010-11-16 10:05:00,2010-11-16 14:29:00,0,73.2120606060606,VIP,Switzerland,0.0,0.0,0.0
2719.01,58,2009-12-08 07:59:00,2010-11-29 10:56:00,356,46.879482758620696,VIP,Austria,0.9753424657534246,59.46629213483146,2720.0
2563.36,117,2009-12-05 13:32:00,2010-10-10 11:16:00,308,21.90905982905983,VIP,Cyprus,0.8438356164383561,138.6525974025974,2564.0
1590.83,88,2010-02-22 09:32:00,2010-11-25 11:04:00,276,18.077613636363637,VIP,Austria,0.7561643835616438,116.37681159420289,1591.0
321.35,19,2010-01-26 14:37:00,2010-09-03 15:19:00,220,16.913157894736845,Medium,Belgium,0.6027397260273972,31.522727272727273,322.0
130.0,1,2009-12-01 10:10:00,2009-12-01 10:10:00,0,130.0,Medium,Belgium,0.0,0.0,0.0
500.24,3,2010-03-16 10:28:00,2010-03-16 10:28:00,0,166.74666666666667,High,Cyprus,0.0,0.0,0.0
917.6999999999999,18,2010-03-21 15:56:00,2010-03-21 15:56:00,0,50.98333333333333,High,Cyprus,0.0,0.0,0.0
1791.15,93,2010-03-08 08:09:00,2010-10-22 13:13:00,228,19.25967741935484,VIP,Austria,0.6246575342465753,148.8815789473684,1792.0
774.62,35,2010-02-09 09:41:00,2010-03-25 12:10:00,44,22.132,High,Austria,0.12054794520547946,290.34090909090907,775.0
2179.42,104,2010-03-04 18:23:00,2010-10-26 13:37:00,235,20.95596153846154,VIP,Switzerland,0.6438356164383562,161.53191489361703,2180.0
763.0500000000001,37,2010-02-04 12:08:00,2010-03-25 13:49:00,49,20.622972972972974,High,Austria,0.13424657534246576,275.61224489795916,764.0
2246.29,50,2010-04-30 14:01:00,2010-10-14 13:31:00,166,44.9258,VIP,Austria,0.4547945205479452,109.93975903614458,2247.0
503.15,13,2010-10-18 08:42:00,2010-11-15 12:15:00,28,38.70384615384615,High,Switzerland,0.07671232876712329,169.4642857142857,504.0
1798.2,75,2010-04-29 15:34:00,2010-11-23 19:24:00,208,23.976,VIP,Switzerland,0.5698630136986301,131.61057692307693,1799.0
1407.7,82,2010-05-26 14:07:00,2010-05-26 14:07:00,0,17.167073170731708,VIP,Switzerland,0.0,0.0,0.0
767.98,41,2010-06-23 12:49:00,2010-10-13 14:46:00,112,18.73121951219512,High,Belgium,0.30684931506849317,133.61607142857142,768.0
6951.49,173,2010-02-15 12:05:00,2010-08-31 14:54:00,197,40.18202312138728,VIP,Belgium,0.5397260273972603,320.53299492385787,6952.0
1938.4,65,2010-11-25 15:14:00,2010-11-25 15:14:00,0,29.821538461538463,VIP,Belgium,0.0,0.0,0.0
258.9,8,2010-12-08 09:53:00,2010-12-08 09:53:00,0,32.3625,Medium,Australia,0.0,0.0,0.0
143.94,9,2010-10-20 16:27:00,2010-10-20 16:27:00,0,15.993333333333332,Medium,Australia,0.0,0.0,0.0
1120.45,46,2010-05-06 12:54:00,2010-09-20 12:41:00,136,24.357608695652175,VIP,Australia,0.3726027397260274,123.45588235294117,1121.0
1433.33,49,2010-02-22 10:15:00,2010-11-02 11:52:00,253,29.251632653061222,VIP,Australia,0.6931506849315069,70.69169960474308,1434.0
2285.18,174,2010-02-15 10:12:00,2010-09-01 12:38:00,198,13.133218390804597,VIP,Cyprus,0.5424657534246575,320.75757575757575,2286.0
234.75000000000003,7,2010-04-27 14:04:00,2010-04-27 14:04:00,0,33.53571428571429,Medium,Australia,0.0,0.0,0.0
816.85,43,2010-10-07 13:49:00,2010-11-22 16:10:00,46,18.996511627906976,High,Australia,0.12602739726027398,341.195652173913,817.0
2048.64,98,2010-04-16 10:16:00,2010-12-03 16:35:00,231,20.904489795918366,VIP,Belgium,0.6328767123287671,154.84848484848487,2049.0
931.43,65,2010-02-03 13:22:00,2010-02-03 13:22:00,0,14.329692307692307,High,RSA,0.0,0.0,0.0
853.65,51,2010-03-05 08:45:00,2010-11-19 08:53:00,259,16.738235294117647,High,Belgium,0.7095890410958904,71.87258687258688,854.0
205.25,11,2010-10-21 13:45:00,2010-10-21 13:45:00,0,18.65909090909091,Medium,Australia,0.0,0.0,0.0
1031.3,59,2010-02-07 12:41:00,2010-11-12 09:50:00,277,17.47966101694915,VIP,Belgium,0.7589041095890411,77.74368231046931,1032.0
591.6600000000001,4,2010-07-06 11:39:00,2010-07-06 11:39:00,0,147.91500000000002,High,Denmark,0.0,0.0,0.0
63.24,1,2010-01-26 16:25:00,2010-01-26 16:25:00,0,63.24,Low,Finland,0.0,0.0,0.0
2975.06,61,2010-01-11 14:04:00,2010-11-05 11:42:00,297,48.771475409836064,VIP,Denmark,0.8136986301369863,74.96632996632997,2976.0
1452.22,54,2010-07-29 13:27:00,2010-11-19 13:21:00,112,26.892962962962965,VIP,Belgium,0.30684931506849317,175.98214285714286,1453.0
12346.619999999999,155,2010-05-23 15:21:00,2010-10-15 10:24:00,144,79.6556129032258,VIP,Switzerland,0.39452054794520547,392.88194444444446,12347.0
320.38,14,2010-07-25 13:26:00,2010-07-25 13:26:00,0,22.884285714285713,Medium,Switzerland,0.0,0.0,0.0
346.9,22,2010-10-26 09:25:00,2010-10-26 09:25:00,0,15.768181818181818,Medium,Australia,0.0,0.0,0.0
1370.05,66,2010-06-18 13:22:00,2010-11-02 17:02:00,137,20.758333333333333,VIP,Denmark,0.37534246575342467,175.83941605839416,1371.0
241.35,13,2010-11-02 13:26:00,2010-11-02 13:26:00,0,18.565384615384616,Medium,Spain,0.0,0.0,0.0
390.0,10,2010-09-02 12:22:00,2010-09-02 13:47:00,0,39.0,Medium,Austria,0.0,0.0,0.0
19543.84,212,2010-06-30 08:30:00,2010-11-29 15:07:00,152,92.18792452830189,VIP,Australia,0.41643835616438357,509.07894736842104,19544.0
202.56,11,2010-02-21 10:19:00,2010-02-21 10:19:00,0,18.414545454545454,Medium,Australia,0.0,0.0,0.0
